_id,date,shaperdroprcvdbyte,srcip,dstport,tz,eventtime,sessionid,type,srccountry,shaperrcvdname,mastersrcmac,action,dstip,trandisp,osname,srcintf,level,srcserver,transip,priority,vd,proto,policyname,dstcountry,devid,srcintfrole,poluuid,sentpkt,duration,policyid,subtype,srcmac,devname,dstintf,shapersentname,sentbyte,policytype,transport,shaperdropsentbyte,dstintfrole,appcat,srcname,service,srcport,logid,srcswversion,time,rcvdbyte,rcvdpkt,nifi_datetime,app,srcfamily,devtype,srchwversion,srchwvendor,unauthusersource,unauthuser,msg,sync_type,logdesc,sync_status,countweb,utmaction,srcuuid,dstuuid,catdesc,hostname,reqtype,cat,direction,method,profile,url,eventtype,src_int,policy_id,epoch,dir,dst_int,from,voip_proto,kind,session_id,call_id,src_port,event_id,dst_port,logsrc,to,status,reason,tunnelid,remip,tunneltype,user,dst_host,group,desc,sentdelta,rcvddelta,dstswversion,dsthwversion,dstdevtype,dstfamily,dsthwvendor,dstosname,ui,sn,identifier,devcategory,ip,interface,mac,dhcp_msg,lease,server,ssid,security,encryption,stamac,remotewtptime,vap,ap,authserver,crlevel,dstcity,vwlid,crscore,craction,dstreputation,dstinetsvc,masterdstmac,dstregion,dstmac,vpntype,dstserver,locip,useralt,cookies,vpntunnel,peer_notif,remport,result,assignip,xauthuser,outintf,xauthgroup,locport,espauth,role,esptransform,out_spi,in_spi,init,version,exch,dstuser,agent,ratemethod,httpmethod,radioband,channel,mpsk,signal,radioid,snr,advpnsc,nextstat,tunnelip,community,pdstport,psrcport,mode,stage,fazlograte,mem,sysuptime,disklograte,bandwidth,cpu,freediskstorage,disk,setuprate,totalsession,bssid,manuf,stacount,apscan,onwire,aptype,radioiddetected,rate,noise,live,radioidclosest,detectionmethod,apstatus,snclosest,sndetected,age,intf,fctuid,applist,apprisk,incidentserialno,scertcname,scertissuer,appid,countapp,tranip,tranport,phase2_name,cause,pid,used,total,cfgattr,cfgobj,cfgtid,cfgpath,act,hook,tuple-num,operdrmamode,opercountry,cfgtxpower,configcountry,opertxpower,slctdrmamode
uMcWnZkBOc1mRMCtPKKX,2025-09-30,,2.118.64.66,853,+0200,1759226321306070830,6558871,traffic,Italy,,,close,96.45.46.46,noop,,root,notice,,,189,root,6,,United,FG100FTK23080622,undefined,,18,61,0,local,,Fiorucci-FG-03,wan1,,7744,,,,wan,unscanned,,tcp/853,6768,0001000014,,11:58:42,8176,18,2025-10-01T00:05:04,tcp/853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uccWnZkBOc1mRMCtPKKk,2025-09-30,,217.119.139.35,,+0200,1759226322289478570,,event,,,,login,2.118.64.66,,,,alert,,,185,root,,,,FG100FTK23080622,,,,,,system,,Fiorucci-FG-03,,,,,,,,,,,,0100032002,,11:58:42,,,2025-10-01T00:05:04,,,,,,,,Administrator,,Admin,,,,,,,,,,,https,,,,,,,,,,,,,,,,,,,failed,name_invalid,,,,bci,,,,,,,,,,,,https(217.119.139.35),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BccWnZkBOc1mRMCtY6O5,2025-09-30,,192.168.38.5,443,+0200,1759225777613044620,803066728,traffic,Reserved,,7c:d3:0a:2e:7d:00,accept,54.171.224.16,snat,Windows,PROGRESS-AT,notice,0,2.33.53.52,189,root,6,LOG_INTERNET,Ireland,FGT80FTK22063366,lan,73b8376a-f5bf-51ee-6914-d26cbc63d0f4,247,2986,33,forward,7c:d3:0a:2e:7d:00,CAPALDO_MANOCALZATI,wan1,,30108,policy,62207,,wan,unscanned,ATLEGNO-HP,HTTPS,62207,0000000020,10,11:49:38,23928,244,2025-10-01T00:05:14,,,,,INVENTEC,kerberos,legnoat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BscWnZkBOc1mRMCtY6O5,2025-09-30,,192.168.39.177,443,+0200,1759225777826268140,803379649,utm,Reserved,,,passthrough,3.68.124.168,,,PROGRESS,notice,,,189,root,6,,United,FGT80FTK22063366,lan,73b8376a-f5bf-51ee-6914-d26cbc63d0f4,,,33,webfilter,,CAPALDO_MANOCALZATI,wan1,,2027,policy,,,wan,,,HTTPS,64288,0317013312,,11:49:38,0,,2025-10-01T00:05:14,,,,,,,,URL,,,,,,bf9fc234-303e-51ee-8c56-e39babfc0025,bf9fc234-303e-51ee-8c56-e39babfc0025,Web-based,bdtd.slack.com,direct,84,outgoing,domain,monitor-all,https://bdtd.slack.com/,ftgd_allow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMcWnZkBOc1mRMCtiqPF,2025-09-30,,192.168.39.168,443,+0200,1759225777867376000,803366724,traffic,Reserved,,b0:0c:d1:68:3c:a1,accept,192.178.202.94,snat,Windows,PROGRESS,notice,0,2.33.53.52,189,root,6,LOG_INTERNET,United,FGT80FTK22063366,lan,73b8376a-f5bf-51ee-6914-d26cbc63d0f4,10,135,33,forward,b0:0c:d1:68:3c:a1,CAPALDO_MANOCALZATI,wan1,,2510,policy,52433,,wan,unscanned,PCATMOBILI,HTTPS,52433,0000000020,10,11:49:38,6748,9,2025-10-01T00:05:24,,,,,HP,kerberos,mobiliat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510,6748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IscWnZkBOc1mRMCtiqPJ,2025-09-30,,192.168.38.11,443,+0200,1759225778020881600,803053299,traffic,Reserved,,7c:d3:0a:2a:9d:0e,accept,54.171.224.16,snat,Windows,PROGRESS-AT,notice,0,2.33.53.52,189,root,6,LOG_INTERNET,Ireland,FGT80FTK22063366,lan,73b8376a-f5bf-51ee-6914-d26cbc63d0f4,257,3120,33,forward,7c:d3:0a:2a:9d:0e,CAPALDO_MANOCALZATI,wan1,,31301,policy,61434,,wan,unscanned,PCSTAGAT,HTTPS,61434,0000000020,10,11:49:38,24820,256,2025-10-01T00:05:24,,,,,INVENTEC,kerberos,stagat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U8cWnZkBOc1mRMCtsaPY,2025-09-30,,10.0.65.249,,+0200,1759226322118893104,1055237415,traffic,Reserved,,,accept,10.0.65.173,noop,,root,notice,,,189,root,1,,Reserved,FGT40FTK2209DDTF,undefined,,1,60,0,local,,FwAutostazione,Only-Internet,,48,,,,lan,unscanned,,PING,,0001000014,,11:58:42,0,0,2025-10-01T00:05:34,PING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMcWnZkBOc1mRMCtsaPY,2025-09-30,,192.168.38.10,443,+0200,1759225778042996300,803053257,traffic,Reserved,,70:f3:95:05:9b:2d,accept,63.34.74.115,snat,Windows,PROGRESS-AT,notice,0,2.33.53.52,189,root,6,LOG_INTERNET,Ireland,FGT80FTK22063366,lan,73b8376a-f5bf-51ee-6914-d26cbc63d0f4,239,3120,33,forward,70:f3:95:05:9b:2d,CAPALDO_MANOCALZATI,wan1,,30563,policy,50630,,wan,unscanned,PCGARDENAT,HTTPS,50630,0000000020,10,11:49:38,23844,237,2025-10-01T00:05:34,,,,,Universal,kerberos,gardenat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8scYnZkBOc1mRMCt-6TI,2025-09-30,,193.94.35.40,53,+0200,1759226323632075790,36075288,traffic,Finland,,,accept,8.8.8.8,snat,,lan,notice,,151.3.152.170,189,root,17,Internet,United,FG100FTK21007153,lan,613cf336-2ce6-51ec-67a1-3f76a6699f96,1,180,4,forward,,FortiGate-CE,wan2,,71,policy,59301,,wan,unscanned,,DNS,59301,0000000013,,11:58:44,128,1,2025-10-01T00:08:04,,,,,,,,,,,,,,1693ef60-2ce6-51ec-1f43-7b6c10d4b7ce,0ece0cb4-2b62-51ec-dc24-fe0fcf5c6c71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98cYnZkBOc1mRMCt-6TV,2025-09-30,,193.94.35.21,443,+0200,1759226323322073690,36081744,traffic,Finland,,,client-rst,52.123.128.14,snat,,lan,notice,,151.3.152.170,189,root,6,Internet,United,FG100FTK21007153,lan,613cf336-2ce6-51ec-67a1-3f76a6699f96,17,8,4,forward,,FortiGate-CE,wan2,,1347,policy,50864,,wan,unscanned,,HTTPS,50864,0000000013,,11:58:44,8227,18,2025-10-01T00:08:04,,,,,,,,,,,,,,1693ef60-2ce6-51ec-1f43-7b6c10d4b7ce,0ece0cb4-2b62-51ec-dc24-fe0fcf5c6c71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
