source,device_id,date,feature,value_today,median,robust_sigma,z,vote,direction,strength
watchguard,8014036CB2D0A,2025-10-19,bytes_per_event,4317.509905649549,11719.896163927973,3886.701928728401,-1.9045417925063879,0,DOWN,OK
watchguard,8014036CB2D0A,2025-10-19,unique_src_ip,1510.0,1376.0,125.09266123054114,1.071205925925926,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,unique_dst_ip,1513.0,1879.5,264.2698295033358,-1.3868401122019636,0,DOWN,OK
watchguard,8014036CB2D0A,2025-10-19,action_accept_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,action_accept_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,action_deny_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,action_deny_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,action_client-rst_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,action_client-rst_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,action_server-rst_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,action_server-rst_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,action_timeout_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,action_timeout_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,action_passthrough_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,action_passthrough_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,unique_proto,5.0,4.0,0.7412898443291327,1.349,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,unique_service,1.0,1.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-19,unique_policy,70.0,71.0,3.150481838398814,-0.31741176470588234,0,DOWN,OK
watchguard,8014036CB2D0A,2025-10-19,unique_user,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
watchguard,8014036CB2D0A,2025-10-20,events_raw,345388.0,259041.0,128017.7909562639,0.6744921885857229,0,UP,OK
watchguard,8014036CB2D0A,2025-10-20,events_after_day_filter,320428.0,239848.0,118611.9347664937,0.6793582800806213,0,UP,OK
watchguard,8014036CB2D0A,2025-10-20,total_events,77998.0,54022.0,28464.23276501112,0.8423202619911064,0,UP,OK
watchguard,8014036CB2D0A,2025-10-20,bytes_total,596697316.0,487393748.0,326726188.6582654,0.33454180226221325,0,UP,OK
watchguard,8014036CB2D0A,2025-10-20,bytes_per_event,7650.161747737122,11257.097006571483,4077.2831922924684,-0.8846418285717229,0,DOWN,OK
watchguard,8014036CB2D0A,2025-10-20,unique_src_ip,1468.0,1376.0,125.09266123054114,0.7354548148148148,0,UP,OK
watchguard,8014036CB2D0A,2025-10-20,unique_dst_ip,2102.0,1849.0,265.93773165307636,0.9513505226480836,0,UP,OK
