source,device_id,date,iforest_score
fortigate,FG100E4Q17018934,2025-10-17,0.03914361655220022
fortigate,FG100E4Q17018934,2025-10-18,0.07678406733410281
fortigate,FG100E4Q17018934,2025-10-19,-0.004393897054200457
fortigate,FG100E4Q17018934,2025-10-20,-0.07123519912602194
fortigate,FG100E4Q17018934,2025-10-21,0.05032191381782897
fortigate,FG100FTK21007153,2025-10-17,0.0375674495543214
fortigate,FG100FTK21007153,2025-10-18,-0.043805463271343825
fortigate,FG100FTK21007153,2025-10-19,-0.08205926990809065
fortigate,FG100FTK21007153,2025-10-20,-0.10494497320579799
fortigate,FG100FTK21007153,2025-10-21,-0.04163490562927141
fortigate,FG100FTK23080008,2025-10-17,0.026072246140796118
fortigate,FG100FTK23080008,2025-10-18,-0.044183486663964544
fortigate,FG100FTK23080008,2025-10-19,-0.05636845516153344
fortigate,FG100FTK23080008,2025-10-20,-0.06820673577550285
fortigate,FG100FTK23080008,2025-10-21,0.011321572693496318
fortigate,FG100FTK23080622,2025-10-17,0.029036411891296077
fortigate,FG100FTK23080622,2025-10-18,-0.019995091363413264
fortigate,FG100FTK23080622,2025-10-19,-0.07312183811380846
fortigate,FG100FTK23080622,2025-10-20,0.023111888199090824
fortigate,FG100FTK23080622,2025-10-21,-0.024652607646239777
fortigate,FG200ETK18902811,2025-10-17,0.07331500944989089
fortigate,FG200ETK18902811,2025-10-18,0.05130775435490165
fortigate,FG200ETK18902811,2025-10-19,-0.03542736908981192
fortigate,FG200ETK18902811,2025-10-20,-0.06916344071732061
fortigate,FG200ETK18902811,2025-10-21,0.0925595739772756
fortigate,FG200ETK18905867,2025-10-17,-0.012181906708286006
fortigate,FG200ETK18905867,2025-10-18,0.009479620414612644
fortigate,FG200ETK18905867,2025-10-19,-0.06347383395021544
fortigate,FG200ETK18905867,2025-10-20,-0.12191727624994819
fortigate,FG200ETK18905867,2025-10-21,0.003872307102810779
fortigate,FGT30E3U17006691,2025-10-17,-0.018947385913421155
fortigate,FGT30E3U17006691,2025-10-18,0.037319013297038794
fortigate,FGT30E3U17006691,2025-10-19,-0.03589194029955067
fortigate,FGT30E3U17006691,2025-10-20,-0.060340993081730465
fortigate,FGT30E3U17006691,2025-10-21,0.045442247840152994
fortigate,FGT30E5620039354,2025-10-17,0.05988764952451581
fortigate,FGT30E5620039354,2025-10-18,0.05502877645549803
fortigate,FGT30E5620039354,2025-10-19,-0.09484332790504224
fortigate,FGT30E5620039354,2025-10-20,-0.03276976445609381
fortigate,FGT30E5620039354,2025-10-21,-0.002148897809775896
fortigate,FGT40FTK2109C8LL,2025-10-16,-0.007453823633015166
fortigate,FGT40FTK2109C8LL,2025-10-17,0.008978824025536236
fortigate,FGT40FTK2109C8LL,2025-10-18,0.07068607416166645
fortigate,FGT40FTK2109C8LL,2025-10-19,0.06855481730476948
fortigate,FGT40FTK2109C8LL,2025-10-20,-0.04306509118309876
fortigate,FGT40FTK2209DDTF,2025-10-17,-0.011504489580067112
fortigate,FGT40FTK2209DDTF,2025-10-18,-0.03982219279482935
fortigate,FGT40FTK2209DDTF,2025-10-19,-0.030831214500224968
fortigate,FGT40FTK2209DDTF,2025-10-20,-0.032768852135926285
fortigate,FGT40FTK2209DDTF,2025-10-21,0.04612679070153691
fortigate,FGT40FTK2209F1Q7,2025-10-17,-0.08760182311089681
fortigate,FGT40FTK2209F1Q7,2025-10-18,-0.020982054199210953
fortigate,FGT40FTK2209F1Q7,2025-10-19,0.004940926122617151
fortigate,FGT40FTK2209F1Q7,2025-10-20,-0.21690530343247982
fortigate,FGT40FTK2209F1Q7,2025-10-21,-0.009281064657314597
fortigate,FGT60E4Q17030319,2025-10-17,0.002964422700727609
fortigate,FGT60E4Q17030319,2025-10-18,-0.014271194310330637
fortigate,FGT60E4Q17030319,2025-10-19,-0.058337062092013836
fortigate,FGT60E4Q17030319,2025-10-20,-0.10607302587156742
fortigate,FGT60E4Q17030319,2025-10-21,-0.03223370995314101
fortigate,FGT60ETK19099WM0,2025-10-17,-0.02190461283028855
fortigate,FGT60ETK19099WM0,2025-10-18,-0.02501142857491434
fortigate,FGT60ETK19099WM0,2025-10-19,-0.061473163647804974
fortigate,FGT60ETK19099WM0,2025-10-20,-0.05861384012710347
fortigate,FGT60ETK19099WM0,2025-10-21,0.07342140578615852
fortigate,FGT80FTK22063366,2025-10-17,0.00768616651336379
fortigate,FGT80FTK22063366,2025-10-18,-0.06441035231720982
fortigate,FGT80FTK22063366,2025-10-19,-0.10619274949667834
fortigate,FGT80FTK22063366,2025-10-20,-0.1291796098352519
fortigate,FGT80FTK22063366,2025-10-21,-0.0009860134044271662
