source,device_id,date,score,voted_features,iforest_score,label
fortigate,FG100E4Q17018934,2025-10-17,0.0,0,0.02963392985774288,NORMAL
fortigate,FG100E4Q17018934,2025-10-18,0.0,0,0.07224683267403165,NORMAL
fortigate,FG100E4Q17018934,2025-10-19,1.6666666666666667,3,-0.003690416345493497,STRONG
fortigate,FG100E4Q17018934,2025-10-20,1.0,2,0.009151476816584514,MEDIUM
fortigate,FG100E4Q17018934,2025-10-21,0.0,0,0.023579037594089303,NORMAL
fortigate,FG100FTK21007153,2025-10-17,2.0,1,0.05062647214258015,STRONG
fortigate,FG100FTK21007153,2025-10-18,2.0,2,0.002784621472391169,STRONG
fortigate,FG100FTK21007153,2025-10-19,1.5,6,-0.04148687110497462,STRONG
fortigate,FG100FTK21007153,2025-10-20,1.8,5,-0.0578416516064878,STRONG
fortigate,FG100FTK21007153,2025-10-21,1.6666666666666667,3,-0.03428080863086391,STRONG
fortigate,FG100FTK23080008,2025-10-17,2.0,1,0.025768589884971105,STRONG
fortigate,FG100FTK23080008,2025-10-18,1.2,5,-0.051457535865603865,MEDIUM
fortigate,FG100FTK23080008,2025-10-19,1.25,4,-0.04466724883334283,MEDIUM
fortigate,FG100FTK23080008,2025-10-20,2.0,1,-0.04259469220799361,STRONG
fortigate,FG100FTK23080008,2025-10-21,1.0,2,0.0062750269425079774,MEDIUM
fortigate,FG100FTK23080622,2025-10-17,0.0,0,0.04344401337265891,NORMAL
fortigate,FG100FTK23080622,2025-10-18,1.0,1,-0.0018510372365553307,MEDIUM
fortigate,FG100FTK23080622,2025-10-19,1.5,4,-0.059588696950397146,STRONG
fortigate,FG100FTK23080622,2025-10-20,0.0,0,0.057768089575854775,NORMAL
fortigate,FG100FTK23080622,2025-10-21,1.5,2,-0.03815902064985288,STRONG
fortigate,FG200ETK18902811,2025-10-17,0.0,0,0.107038028675014,NORMAL
fortigate,FG200ETK18902811,2025-10-18,0.0,0,0.06430770172053518,NORMAL
fortigate,FG200ETK18902811,2025-10-19,1.6666666666666667,3,-0.05526486334141123,STRONG
fortigate,FG200ETK18902811,2025-10-20,0.0,0,0.053431538584562066,NORMAL
fortigate,FG200ETK18902811,2025-10-21,0.0,0,0.05719000402460822,NORMAL
fortigate,FG200ETK18905867,2025-10-17,1.0,1,0.009455327903264199,MEDIUM
fortigate,FG200ETK18905867,2025-10-18,1.0,1,0.03109009954607944,MEDIUM
fortigate,FG200ETK18905867,2025-10-19,1.5714285714285714,7,-0.08303907385158749,STRONG
