source,device_id,date,score,voted_features,iforest_score,label
fortigate,FGT60E4Q17030319,2025-10-18,1.5,2,-0.008200689453861654,STRONG
fortigate,FGT60E4Q17030319,2025-10-19,1.8333333333333333,6,-0.07674434104916417,STRONG
fortigate,FGT60E4Q17030319,2025-10-20,1.8,5,-0.06805096030344637,STRONG
fortigate,FGT60E4Q17030319,2025-10-21,1.75,4,-0.059064108871241694,STRONG
fortigate,FGT60ETK19099WM0,2025-10-17,2.0,3,-0.005119126366533666,STRONG
fortigate,FGT60ETK19099WM0,2025-10-18,2.0,3,-0.035697897160871794,STRONG
fortigate,FGT60ETK19099WM0,2025-10-19,1.75,4,-0.05920661971145025,STRONG
fortigate,FGT60ETK19099WM0,2025-10-20,2.0,4,-0.026132226951887327,STRONG
fortigate,FGT60ETK19099WM0,2025-10-21,1.75,4,0.056340302994501656,STRONG
fortigate,FGT80FTK22063366,2025-10-17,1.0,1,0.028542312494204136,MEDIUM
fortigate,FGT80FTK22063366,2025-10-18,2.0,4,-0.05170447278033863,STRONG
fortigate,FGT80FTK22063366,2025-10-19,1.8333333333333333,6,-0.10056782279978072,STRONG
fortigate,FGT80FTK22063366,2025-10-20,2.0,5,-0.06172254571709801,STRONG
fortigate,FGT80FTK22063366,2025-10-21,1.3333333333333333,3,-0.027338114079864195,MEDIUM
