source,device_id,date,score,voted_features,explain_top,total_events,bytes_total,unique_src_ip,unique_dst_ip,iforest_score,label
pfsense,pfsense_default,2025-10-17,0.0,0,,16844.0,0.0,582.0,0.0,0.03239655697808125,NORMAL
pfsense,pfsense_default,2025-10-18,0.0,0,,16876.0,0.0,932.0,0.0,0.04272013694872012,NORMAL
pfsense,pfsense_default,2025-10-19,2.0,3,"events_raw:+5826.33(UP), events_after_day_filter:+369.71(UP), total_events:+369.71(UP)",25347.0,0.0,787.0,0.0,-0.04573246040492818,STRONG
pfsense,pfsense_default,2025-10-20,2.0,3,"events_raw:+5827.68(UP), events_after_day_filter:+387.78(UP), total_events:+387.78(UP)",25335.0,0.0,732.0,0.0,-0.29861090247100586,STRONG
pfsense,pfsense_default,2025-10-21,1.8,5,"events_raw:-1779.33(DOWN), events_after_day_filter:-597.17(DOWN), total_events:-597.17(DOWN), unique_src_ip:-5.78(DOWN), unique_proto:-2.70(DOWN)",3796.0,0.0,299.0,0.0,-0.07537568541302642,STRONG
