source,device_id,date,total_events,bytes_total,bytes_per_event,unique_src_ip,unique_dst_ip
vsphere_vm,localhost,2025-09-21,1224.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-09-22,5016.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-09-23,2296.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-09-24,3628.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-09-25,2128.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-09-26,3062.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-09-27,1958.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-09-28,3196.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-09-29,1658.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-09-30,3842.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-01,2506.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-02,3348.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-03,1768.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-04,3810.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-05,2484.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-06,3712.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-07,1380.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-08,2756.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-09,2436.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-10,3396.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-11,1296.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-12,3328.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-13,2024.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-14,2658.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-15,2548.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-16,3862.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-17,4090.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-18,4328.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-19,13896.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-20,6786.0,0.0,0.0,0.0,0.0
vsphere_vm,localhost,2025-10-21,361.0,0.0,0.0,0.0,0.0
