source,date,feature,value_today,median,robust_sigma,z,vote,direction,strength
fortigate,2025-10-19,action_server-rst_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-19,action_timeout_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-19,action_timeout_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-19,action_passthrough_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-19,action_passthrough_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-19,unique_proto,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-19,unique_service,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-19,unique_policy,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-19,unique_user,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-19,unique_host,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,events_raw,51840.0,34560.0,2.965159377316531,5827.68,2,UP,STRONG
fortigate,2025-10-20,events_after_day_filter,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,total_events,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,bytes_total,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,bytes_per_event,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,unique_src_ip,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,unique_dst_ip,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_accept_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_accept_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_deny_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_deny_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_client-rst_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_client-rst_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_server-rst_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_server-rst_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_timeout_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_timeout_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_passthrough_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,action_passthrough_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,unique_proto,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,unique_service,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,unique_policy,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,unique_user,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-20,unique_host,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,events_raw,29226.0,34560.0,2.965159377316531,-1798.8915,2,DOWN,STRONG
fortigate,2025-10-21,events_after_day_filter,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,total_events,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,bytes_total,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,bytes_per_event,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,unique_src_ip,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,unique_dst_ip,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_accept_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_accept_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_deny_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_deny_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_client-rst_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_client-rst_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_server-rst_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_server-rst_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_timeout_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_timeout_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_passthrough_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,action_passthrough_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,unique_proto,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,unique_service,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,unique_policy,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,unique_user,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
fortigate,2025-10-21,unique_host,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
